Question,Label
"In her music, what are some recurring elements in them?","""non-rhetorical"""
Can a leopard change its spots?,""" rhetorical"""
Do pigs fly?,""" rhetorical"""
Is the sky blue?,""" rhetorical"""
Does water run uphill?,""" rhetorical"""
Is time really a flat circle?,""" rhetorical"""
Is there life on other planets?,""" rhetorical"""
Do we live in a simulation?,""" rhetorical"""
Is love real?,""" rhetorical"""
Is there free will?,""" rhetorical"""
What is the meaning of life?,""" rhetorical"""
What magazine named Beyoncé as the most powerful female musician for 2015?,"""non-rhetorical"""
Beyonce's younger sibling also sang with her in what band?,"""non-rhetorical"""
Where did Beyonce get her name from?,"""non-rhetorical"""
What race was Beyonce's father?,"""non-rhetorical"""
Beyonce's childhood home believed in what religion?,"""non-rhetorical"""
Why do people do bad things?,""" rhetorical"""
Is there such a thing as a fair world?,""" rhetorical"""
What is the role of government in our lives?,""" rhetorical"""
Is it better to be loved or to be feared?,""" rhetorical"""
What is the true measure of success?,""" rhetorical"""
What did Beyoncé's mother own when Beyoncé was a child?,"""non-rhetorical"""
What is the name of Beyoncé's younger sister?,"""non-rhetorical"""
Beyoncé is a descendant of which Acadian leader?,"""non-rhetorical"""
Beyoncé was raised in what religion?,"""non-rhetorical"""
What town did Beyonce go to school in?,"""non-rhetorical"""
Who was the first person to notice Beyonce's singing ability?,"""non-rhetorical"""
Beyonce moved to which town after she left her first elementary school?,"""non-rhetorical"""
Which of her teachers discovered Beyonce's musical talent?,"""non-rhetorical"""
What is the nature of consciousness?,""" rhetorical"""
Is time an illusion?,""" rhetorical"""
Is there such a thing as an objective reality?,""" rhetorical"""
What is the relationship between mind and matter?,""" rhetorical"""
Can we ever truly know the truth?,""" rhetorical"""
How old was Beyoncé when she won a school talent show?,"""non-rhetorical"""
What choir did Beyoncé sing in for two years?,"""non-rhetorical"""
Who decided to place Beyonce's group in Star Search the talent show?,"""non-rhetorical"""
"In 1995, who decided to manage the girls singing group?","""non-rhetorical"""
Who was the first record label to give the girls a record deal?,"""non-rhetorical"""
What are we capable of achieving?,""" rhetorical"""
Are we limited by our biology or our imagination?,""" rhetorical"""
What is the role of technology in our evolution?,""" rhetorical"""
Are we destined to destroy ourselves or to create a utopia?,""" rhetorical"""
What is the meaning of human existence?,""" rhetorical"""
How old was Beyoncé when she met LaTavia Roberson?,"""non-rhetorical"""
What was the name of the first group Beyoncé was a part of?,"""non-rhetorical"""
Can words truly capture the complexity of human experience?,""" rhetorical"""
When did Beyoncé begin to manage the girl group?,"""non-rhetorical"""
"Who signed the girl group on October 5, 1995?","""non-rhetorical"""
Is silence sometimes more eloquent than speech?,""" rhetorical"""
Does language create our reality or merely reflect it?,""" rhetorical"""
Are we prisoners of our own language?,""" rhetorical"""
Beyonce's group changed their name to Destiny's Child in what year?,"""non-rhetorical"""
The name Destiny's Child was based on a quote in which book of the Bible?,"""non-rhetorical"""
"Debut song, ""Killing Time"" was featured on what movie's sound track?","""non-rhetorical"""
What song won Best R&B Performance in the 43 Annual Grammy Awards?,"""non-rhetorical"""
"What singer did Beyonce record a song with for the movie, ''The Best Man""?","""non-rhetorical"""
Where did Destiny's Child get their name from?,"""non-rhetorical"""
Can we ever truly understand each other?,""" rhetorical"""
What was Destiny's Child's first major song hit?,"""non-rhetorical"""
When did Destiny's Child release their second album?,"""non-rhetorical"""
"Who did Beyoncé sing a duet with for ""The Best Man"" film?","""non-rhetorical"""
What mental health issue did Beyonce go through?,"""non-rhetorical"""
What event occured after she was publicly criticized?,"""non-rhetorical"""
Who supported Beyonce through her depression?,"""non-rhetorical"""
What event caused Beyonce's depression?,"""non-rhetorical"""
Do we really have control over our destiny?,""" rhetorical"""
Can anyone deny the importance of education?,""" rhetorical"""
Isn't it true that actions speak louder than words?,""" rhetorical"""
Have we not all experienced the feeling of being lost at some point?,""" rhetorical"""
Isn't the beauty of nature beyond words?,""" rhetorical"""
Do we truly appreciate the value of time?,""" rhetorical"""
Can anyone argue against the significance of kindness?,""" rhetorical"""
Haven't we all wondered about the meaning of life?,""" rhetorical"""
"For what network, did Beyonce land a major movie role in?","""non-rhetorical"""
"Their third album, Survivor, sold how many during its first week?","""non-rhetorical"""
What French composer wrote the original opera ''Carmen'' in the 19th century?,"""non-rhetorical"""
